name,norad_cat_id,classification,int_designator,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination,raan,eccentricity,arg_of_perigee,mean_anomaly,mean_motion,rev_number,anomaly_label
CALSPHERE 1,900,U,64063C,25,280.26225571,9.1e-06,0.0,92364000.0,0,999,90.2167,65.9168,0.0024454,341.3692,90.1604,13.76232159,3663,0
CALSPHERE 2,902,U,64063E,25,280.30668777,7.1e-07,0.0,934970000.0,0,999,90.2295,69.8244,0.0016886,238.3787,167.8147,13.52874323,82207,0
LCS 1,1361,U,65034C,25,280.32317684,-1e-08,0.0,-1246400.0,0,999,32.1431,57.4051,0.0013576,306.7455,53.1796,9.89309244,18484,0
TEMPSAT 1,1512,U,65065E,25,280.30920497,5.1e-07,0.0,849820000.0,0,999,89.9872,212.7283,0.0067846,238.12,289.2939,13.33574046,92634,0
CALSPHERE 4A,1520,U,65065H,25,280.30315759,1.37e-06,0.0,24472000.0,0,999,89.9107,124.8262,0.0071307,96.9938,77.709,13.36221263,92893,0
OPS 5712 (P/L 160),2826,U,67053A,25,280.3082304,9.602e-05,0.0,1520100.0,0,999,69.918,295.8597,0.0004391,326.1725,33.9139,14.72481261,2893,0
LES-5,2866,U,67066E,25,280.19819001,-7.3e-07,0.0,0.0,0,999,2.0392,105.0204,0.0053686,195.91,94.4504,1.094256,12826,0
SURCAL 159,2872,U,67053F,25,280.15659602,1.74e-06,0.0,15637000.0,0,999,69.9741,185.6551,0.0003833,79.5542,280.5997,13.99512397,97480,0
OPS 5712 (P/L 153),2874,U,67053H,25,280.26671871,8.5e-07,0.0,994150000.0,0,999,69.9729,297.4008,0.0007065,188.546,171.5526,13.96772816,97146,0
SURCAL 150B,2909,U,67053J,25,280.2453512,0.00929617,0.0,7226100.0,0,999,69.9049,163.8972,0.0015193,186.347,173.7535,15.69170426,4297,0
OPS 3811 (DSP 2),5204,U,71039A,25,280.17132324,-1.83e-06,0.0,0.0,0,999,0.4567,299.9629,0.0022469,340.7391,331.1617,0.98162167,20374,0
RIGIDSPHERE 2 (LCS 4),5398,U,71067E,25,280.32879485,1.137e-05,0.0,36720000.0,0,999,87.6204,48.9751,0.0059883,353.7409,6.3034,14.37391551,83755,0
OSCAR 7 (AO-7),7530,U,74089B,25,280.25220258,-3.1e-07,0.0,983860000.0,0,999,101.9989,285.8097,0.0011909,253.8408,117.1985,12.53692242,32882,0
STARLETTE,7646,U,75010A,25,280.28311928,-1.42e-06,0.0,-2712000000000.0,0,999,49.8264,22.8538,0.0205719,307.5623,50.674,13.82345261,55955,0
LAGEOS 1,8820,U,76039A,25,280.24118091,2.8e-07,0.0,0.0,0,999,109.8426,92.7096,0.0044667,356.4218,144.2891,6.38664833,89698,0
OPS 8701 (DSP 10),13086,U,82019A,25,279.94832894,-1.73e-06,0.0,0.0,0,999,9.8093,310.9974,0.0005646,283.6985,251.6052,0.98189939,2317,0
PHASE 3B (AO-10),14129,U,83058B,25,279.37402268,-1.3e-06,0.0,0.0,0,999,26.2561,262.6208,0.6068434,44.9219,350.6269,2.05872073,29026,0
UOSAT 2 (UO-11),14781,U,84021B,25,280.30818276,2.626e-05,0.0,27935000.0,0,999,97.7698,244.4232,0.0006369,309.4439,50.6214,14.89801271,21946,0
AJISAI (EGS),16908,U,86061A,25,280.27235824,-8.7e-07,0.0,710930000.0,0,999,50.0083,205.1023,0.0011177,257.0184,277.8657,12.4451357,44889,0
TDRS 3,19548,U,88091B,25,279.38894471,-2.95e-06,0.0,0.0,0,999,12.7975,342.6691,0.0037972,341.108,142.5115,1.00278977,12284,0
COSMOS 1989 (ETALON 1),19751,U,89001C,25,280.16547266,4.4e-07,0.0,0.0,0,999,64.7989,80.8579,0.0023425,216.8365,349.6131,2.13155986,28597,0
COSMOS 2024 (ETALON 2),20026,U,89039C,25,280.21575787,-1.4e-07,0.0,0.0,0,999,65.0879,319.2452,0.0020398,214.5371,144.362,2.13204443,28310,0
FLTSATCOM 8 (USA 46),20253,U,89077A,25,279.85247723,-3.64e-06,0.0,0.0,0,999,12.4931,352.6723,0.0004644,224.6986,230.8674,1.00264987,25802,0
LUSAT (LO-19),20442,U,90005G,25,280.26151507,2.31e-06,0.0,995520000.0,0,999,98.9004,289.9274,0.0010831,224.0402,135.9919,14.34004599,86614,0
HST,20580,U,90037B,25,280.277157,9.2e-05,0.0,33140000.0,0,999,28.4699,4.4343,0.000207,206.5521,153.4968,15.26774759,74982,0
SKYNET 4C,20776,U,90079A,25,277.85985767,1.32e-06,0.0,0.0,0,999,13.4234,351.5396,0.0003907,214.7009,150.4874,1.00268454,12833,0
USA 65 (DSP 15),20929,U,90095A,25,280.33276317,-8e-07,0.0,0.0,0,999,14.1624,345.7867,0.0002877,128.5521,232.2564,0.98396907,2298,0
TDRS 5,21639,U,91054B,25,279.38239206,8.9e-07,0.0,0.0,0,999,14.1029,355.6367,0.0012696,242.271,107.4393,1.0075964656691536,12516,1
USA 75 (DSP 16),21805,U,91080B,25,280.12036301,-9.1e-07,0.0,0.0,0,999,14.1417,347.3016,0.0003241,147.3805,200.8919,0.99184008,2319,0
LAGEOS 2,22195,U,92070B,25,274.43782847,-9e-08,0.0,0.0,0,999,52.6563,70.1545,0.0137774,74.3816,309.6933,6.4729381,77867,0
TDRS 6,22314,U,93003B,25,279.66554677,-2.91e-06,0.0,0.0,0,999,14.1778,358.9244,0.0010516,192.133,18.0839,1.0028009,11986,0
SCD 1,22490,U,93009B,25,280.29943499,6.62e-06,0.0,13041000.0,0,999,24.9706,328.8146,0.0041959,342.1375,89.5998,14.45937116,72447,0
UFO 2 (USA 95),22787,U,93056A,25,279.86127557,1.3e-06,0.0,0.0,0,999,11.808,4.9073,0.0004992,237.2985,112.3944,1.00277977,11600,0
STELLA,22824,U,93061B,25,280.29873709,-1.1e-07,0.0,139030000.0,0,999,98.8113,338.1636,0.0005348,249.5084,200.0182,14.27460404,66869,0
EYESAT A (AO-27),22825,U,93061C,25,280.1475946,2.09e-06,0.0,965940000.0,0,999,98.7242,342.2264,0.00094,119.509,240.7031,14.30841265,67081,0
ITAMSAT (IO-26),22826,U,93061D,25,280.13177518,2.35e-06,0.0,10568000.0,0,999,98.7187,342.1036,0.0010031,105.3578,254.8714,14.31258949,67111,0
USA 99 (MILSTAR-1 1),22988,U,94009A,25,280.0293166,-1.91e-06,0.0,0.0,0,999,17.2403,30.4178,0.000275,203.163,62.8284,1.00268654,3041,0
RADIO ROSTO (RS-15),23439,U,94085A,25,280.26327639,-2.9e-07,0.0,36846000.0,0,999,64.8217,352.2584,0.0147695,51.3024,310.1003,11.27581451,26738,0
UFO 4 (USA 108),23467,U,95003A,25,279.54975294,-1.4e-07,0.0,0.0,0,999,9.6959,14.0378,0.0004045,185.5534,186.2364,1.00276337,11241,0
